filename,x_center,y_center,width,height,class
10_a-003.mp4_frame0.jpg,0.391745,0.618449,0.070755,0.180294,0
10_a-003.mp4_frame0.jpg,0.489033,0.514675,0.083726,0.169811,0
10_a-003.mp4_frame0.jpg,0.720165,0.411950,0.093160,0.186583,0
10_a-003.mp4_frame0.jpg,0.777358,0.278826,0.066038,0.134172,0
10_a-003.mp4_frame1050.jpg,0.481368,0.664570,0.068396,0.159329,0
10_a-003.mp4_frame1170.jpg,0.477830,0.834382,0.049528,0.100629,0
10_a-003.mp4_frame1170.jpg,0.539151,0.818658,0.051887,0.132075,0
10_a-003.mp4_frame1200.jpg,0.200118,0.584906,0.053066,0.113208,0
10_a-003.mp4_frame1200.jpg,0.287382,0.561845,0.062500,0.171908,0
10_a-003.mp4_frame1200.jpg,0.388208,0.520964,0.056604,0.106918,0
10_a-003.mp4_frame1350.jpg,0.181250,0.506289,0.062500,0.085954,0
10_a-003.mp4_frame2040.jpg,0.215448,0.718029,0.079009,0.157233,0
10_a-003.mp4_frame2040.jpg,0.171816,0.851153,0.083726,0.125786,0
10_a-003.mp4_frame2370.jpg,0.866391,0.806080,0.071934,0.132075,0
10_a-003.mp4_frame2400.jpg,0.562146,0.581761,0.093160,0.161426,0
10_a-003.mp4_frame2400.jpg,0.556250,0.868973,0.045991,0.085954,0
10_a-003.mp4_frame2400.jpg,0.581014,0.269392,0.053066,0.052411,0
10_a-003.mp4_frame2430.jpg,0.329245,0.468553,0.139151,0.194969,0
10_a-003.mp4_frame2430.jpg,0.260259,0.805031,0.067217,0.134172,0
10_a-003.mp4_frame2460.jpg,0.950118,0.494759,0.069575,0.113208,0
10_a-003.mp4_frame2460.jpg,0.395283,0.537736,0.047170,0.060797,0
10_a-003.mp4_frame2460.jpg,0.828656,0.237945,0.067217,0.073375,0
10_a-003.mp4_frame2550.jpg,0.443632,0.507338,0.063679,0.121593,0
10_a-003.mp4_frame2550.jpg,0.444811,0.627883,0.063679,0.132075,0
10_a-003.mp4_frame2550.jpg,0.545047,0.471698,0.042453,0.117400,0
10_a-003.mp4_frame2640.jpg,0.369929,0.205451,0.074292,0.062893,0
10_a-003.mp4_frame2640.jpg,0.669458,0.381551,0.086085,0.129979,0
10_a-003.mp4_frame2730.jpg,0.541509,0.946541,0.087264,0.106918,0
10_a-003.mp4_frame2790.jpg,0.878774,0.740042,0.084906,0.268344,0
10_a-003.mp4_frame2790.jpg,0.868750,0.324948,0.048349,0.075472,0
10_a-003.mp4_frame2790.jpg,0.675354,0.687631,0.079009,0.171908,0
10_a-003.mp4_frame2910.jpg,0.338090,0.505241,0.057783,0.138365,0
10_a-003.mp4_frame2910.jpg,0.649410,0.785115,0.060142,0.119497,0
10_a-003.mp4_frame2910.jpg,0.397052,0.308176,0.055425,0.117400,0
10_a-003.mp4_frame30.jpg,0.237264,0.945493,0.080189,0.109014,0
10_a-003.mp4_frame30.jpg,0.385849,0.828092,0.084906,0.285115,0
10_a-003.mp4_frame30.jpg,0.651769,0.696017,0.067217,0.134172,0
10_a-003.mp4_frame3120.jpg,0.445991,0.595388,0.158019,0.150943,0
10_a-003.mp4_frame3120.jpg,0.122288,0.416143,0.140330,0.253669,0
10_a-003.mp4_frame3540.jpg,0.301533,0.916143,0.086085,0.125786,0
10_a-003.mp4_frame3540.jpg,0.404717,0.915094,0.049528,0.081761,0
10_a-003.mp4_frame3540.jpg,0.536203,0.907757,0.145047,0.117400,0
10_a-003.mp4_frame3930.jpg,0.586910,0.856394,0.090802,0.194969,0
10_a-003.mp4_frame3930.jpg,0.135849,0.293501,0.082547,0.092243,0
10_a-003.mp4_frame3930.jpg,0.134670,0.874214,0.061321,0.104822,0
10_a-003.mp4_frame4560.jpg,0.197170,0.790356,0.080189,0.125786,0
10_a-003.mp4_frame4560.jpg,0.512028,0.886792,0.101415,0.171908,0
10_a-003.mp4_frame5040.jpg,0.768514,0.871069,0.079009,0.207547,0
10_a-003.mp4_frame5040.jpg,0.521462,0.830189,0.066038,0.155136,0
10_a-003.mp4_frame510.jpg,0.238443,0.465409,0.073113,0.180294,0
11_b.mp4_frame1560.jpg,0.736675,0.808176,0.185142,0.211740,0
11_b.mp4_frame1950.jpg,0.549175,0.655136,0.088443,0.165618,0
11_b.mp4_frame1950.jpg,0.483726,0.799790,0.129717,0.174004,0
11_b.mp4_frame1950.jpg,0.887618,0.931866,0.161557,0.136268,0
11_c.mp4_frame180.jpg,0.099292,0.573375,0.103774,0.228512,0
11_c.mp4_frame300.jpg,0.098113,0.735849,0.191038,0.272537,0
11_c.mp4_frame60.jpg,0.160613,0.677149,0.301887,0.624738,0
11_c.mp4_frame60.jpg,0.741981,0.896226,0.054245,0.098532,0
13_a.mp4_frame960.jpg,0.691863,0.656184,0.090802,0.167715,0
13_b.mp4_frame240.jpg,0.309198,0.498952,0.037736,0.079665,0
13_b.mp4_frame240.jpg,0.257311,0.450734,0.054245,0.058700,0
13_b.mp4_frame30.jpg,0.760259,0.771488,0.142689,0.322851,0
13_b.mp4_frame960.jpg,0.758491,0.779874,0.125000,0.104822,0
14_d_frame0.jpg,0.635201,0.959548,0.026005,0.048799,0
14_d_frame0.jpg,0.647843,0.668036,0.028172,0.059073,0
14_d_frame0.jpg,0.744277,0.637216,0.040452,0.166945,0
14_d_frame0.jpg,0.769199,0.486965,0.031061,0.035957,0
14_d_frame0.jpg,0.826265,0.477334,0.025283,0.044947,0
14_d_frame0.jpg,0.834572,0.608964,0.056344,0.156671,0
14_d_frame0.jpg,0.902835,0.677668,0.074403,0.188776,0
14_d_frame0.jpg,0.829154,0.951843,0.033951,0.082188,0
14_d_frame0.jpg,0.924867,0.916528,0.106909,0.160524,0
14_d_frame120.jpg,0.027650,0.373957,0.030989,0.060100,0
14_d_frame120.jpg,0.091507,0.743740,0.027233,0.051753,0
14_d_frame120.jpg,0.820691,0.966611,0.039441,0.063439,0
14_d_frame120.jpg,0.903328,0.110184,0.058222,0.066778,0
14_d_frame120.jpg,0.667154,0.323038,0.049770,0.141903,0
14_d_frame120.jpg,0.357262,0.292988,0.072308,0.218698,0
14_d_frame120.jpg,0.422527,0.091820,0.039441,0.050083,0
14_d_frame120.jpg,0.513147,0.113523,0.029111,0.060100,0
14_d_frame120.jpg,0.748852,0.727880,0.049770,0.113523,0
14_d_frame120.jpg,0.692039,0.864775,0.041319,0.096828,0
14_d_frame120.jpg,0.552588,0.356427,0.171849,0.398998,0
14_d_frame120.jpg,0.646964,0.704508,0.056344,0.210351,0
14_d_frame120.jpg,0.506573,0.805509,0.211290,0.385643,0
14_d_frame150.jpg,0.889712,0.585142,0.047892,0.075125,0
14_d_frame150.jpg,0.683587,0.518364,0.054466,0.068447,0
14_d_frame150.jpg,0.480749,0.753756,0.050710,0.151920,0
14_d_frame150.jpg,0.115922,0.827212,0.077942,0.222037,0
14_d_frame150.jpg,0.324395,0.770451,0.143677,0.442404,0
14_d_frame150.jpg,0.188230,0.584307,0.042258,0.053422,0
14_d_frame180.jpg,0.640860,0.326377,0.081699,0.075125,0
14_d_frame210.jpg,0.577473,0.094324,0.097663,0.118531,0
14_d_frame240.jpg,0.235184,0.419866,0.111749,0.125209,0
14_d_frame270.jpg,0.090098,0.683639,0.150250,0.198664,0
14_d_frame30.jpg,0.779841,0.766277,0.138043,0.424040,0
14_d_frame30.jpg,0.593437,0.770451,0.058222,0.171953,0
14_d_frame30.jpg,0.645086,0.568447,0.039441,0.051753,0
14_d_frame30.jpg,0.877035,0.707846,0.039441,0.103506,0
14_d_frame330.jpg,0.937578,0.909015,0.124843,0.181970,0
14_d_frame450.jpg,0.782659,0.514190,0.072308,0.090150,0
14_d_frame480.jpg,0.650250,0.282137,0.096724,0.130217,0
14_d_frame60.jpg,0.550710,0.672788,0.066674,0.190317,0
14_d_frame60.jpg,0.616914,0.446578,0.041319,0.055092,0
14_d_frame60.jpg,0.762938,0.709516,0.183118,0.547579,0
14_d_frame60.jpg,0.890651,0.663606,0.051649,0.148581,0
14_d_frame90.jpg,0.472767,0.569282,0.066674,0.223706,0
14_d_frame90.jpg,0.534276,0.358932,0.041319,0.046745,0
14_d_frame90.jpg,0.674197,0.590150,0.167154,0.495826,0
14_d_frame90.jpg,0.793927,0.559265,0.047892,0.153589,0
14_d_frame90.jpg,0.709881,0.941569,0.202838,0.113523,0
14_d_frame90.jpg,0.893468,0.962437,0.053527,0.075125,0
14_e_frame0.jpg,0.423936,0.135225,0.066674,0.076795,0
14_e_frame120.jpg,0.643677,0.098497,0.109871,0.196994,0
14_e_frame30.jpg,0.468072,0.129382,0.091089,0.105175,0
14_e_frame60.jpg,0.607992,0.049249,0.055405,0.098497,0
14_e_frame90.jpg,0.526763,0.065109,0.071369,0.130217,0
15_frame10140.jpg,0.344115,0.909850,0.038502,0.050083,0
15_frame10170.jpg,0.467602,0.751252,0.028172,0.040067,0
15_frame11070.jpg,0.089179,0.414858,0.043432,0.108514,0
15_frame11100.jpg,0.309839,0.409850,0.037563,0.098497,0
15_frame11130.jpg,0.432387,0.497496,0.034745,0.093489,0
15_frame11160.jpg,0.598602,0.577629,0.030989,0.093489,0
15_frame11340.jpg,0.354914,0.976628,0.046953,0.046744,0
15_frame11370.jpg,0.453047,0.929883,0.049770,0.076795,0
15_frame11520.jpg,0.076012,0.898164,0.069491,0.113523,0
